X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.850367222254203,52.718977641562994,1,CARLOW,Ceatharlach,CARLOW,,C,Co,N,,10000,CARLOW,Ceatharlach,,,277734,163675,677668,663717,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.336662848814475,53.951745852095648,2,CAVAN,An Cabhán,CAVAN,,C,Co,N,,20000,CAVAN,An Cabhán,,,243599,300462,643541,800474,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.047161721868537,52.862452319419823,3,CLARE,An Clár,CLARE,,C,Co,N,,30000,CLARE,An Clár,,                                            ,129521,179535,529487,679574,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.764354357483656,51.988470354556455,4,CORK,Corcaigh,CORK/CORK CITY,,C,Co,Y,,40000,CORK,Corcaigh,,,147540,82041,547502,582101,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.995404658973375,54.866117642475103,5,DONEGAL,Dún na nGall,DONEGAL,,C,Co,Y,,50000,DONEGAL,Dún na nGall,,,200343,402042,600295,902033,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.313378857986462,53.382473232592893,6,DUBLIN,Baile Átha Cliath,FINGAL/SOUTH DUBLIN/DUN LAOGHAIRE-RATHDOWN/DUBLIN CITY,,C,Co,N,,260000,DUBLIN,Baile Átha Cliath,,,312281,238223,712207,738248,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.94425781414931,53.377091936284074,7,GALWAY,Gaillimh,GALWAY/GALWAY CITY,,C,Co,Y,,60000,GALWAY,Gaillimh,,,137207,236712,537171,736739,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.525981259158463,52.16789593245025,8,KERRY,Ciarraí,KERRY,,C,Co,Y,,70000,KERRY,Ciarraí,,,95640,102828,495613,602884,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.866120373618395,53.213756132229896,9,KILDARE,Cill Dara,KILDARE,,C,Co,N,,80000,KILDARE,Cill Dara,,,275800,218719,675734,718749,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.187378756082436,52.612451669285207,10,KILKENNY,Cill Chainnigh,KILKENNY,,C,Co,N,,90000,KILKENNY,Cill Chainnigh,,,255096,151510,655034,651555,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.386986895652522,52.990928506436298,11,LAOIS,Laois,LAOIS,,C,Co,N,,100000,LAOIS,Laois,,,241215,193496,641157,693531,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.11617665540777,54.13683282804152,12,LEITRIM,Liatroim,LEITRIM,,C,Co,N,,110000,LEITRIM,Liatroim,,,192455,320866,592408,820874,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.8123826594476,52.522120421110287,13,LIMERICK,Luimneach,LIMERICK/LIMERICK CITY,,C,Co,N,,120000,LIMERICK,Luimneach,,,144907,141458,544869,641505,4,519,FF,2007-05-16T00:00:00.000Z,
-7.720883337054574,53.723565219234061,14,LONGFORD,An Longfort,LONGFORD,,C,Co,N,,130000,LONGFORD,An Longfort,,,218474,274896,618421,774914,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.467105186760112,53.896974020170795,15,LOUTH,Lú,LOUTH,,C,Co,N,,140000,LOUTH,Lú,,,300818,295251,700747,795264,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.351651328623875,53.934577658994705,16,MAYO,Maigh Eo,MAYO,,C,Co,Y,,150000,MAYO,Maigh Eo,,,111274,299193,511244,799206,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.667708609986316,53.657689471174365,17,MEATH,An Mhí,MEATH,,C,Co,Y,,160000,MEATH,An Mhí,,,288131,268353,688063,768372,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.986485042566942,54.169340101426165,18,MONAGHAN,Muineachán,MONAGHAN,,C,Co,N,,170000,MONAGHAN,Muineachán,,,266242,324953,666179,824960,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.633371148634103,53.254516895562055,19,OFFALY,Uíbh Fhailí,OFFALY,,C,Co,N,,180000,OFFALY,Uíbh Fhailí,,,224520,222718,624465,722747,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.375663063008426,53.784399768946408,20,ROSCOMMON,Ros Comáin,ROSCOMMON,,C,Co,N,,190000,ROSCOMMON,Ros Comáin,,,175287,281696,575243,781713,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.468909241179,54.111812806903039,21,SLIGO,Sligeach,SLIGO,,C,Co,N,,200000,SLIGO,Sligeach,,,169381,318176,569339,818185,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.005154258199699,52.621305651608345,22,TIPPERARY,Tiobraid Árann,NORTH/SOUTH TIPPERARY,,C,Co,N,,210000,TIPPERARY,Tiobraid Árann,,,199700,152185,599651,652230,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.717134343148882,52.196446803830163,23,WATERFORD,Port Láirge,WATERFORD/WATERFORD CITY,,C,Co,Y,,220000,WATERFORD,Port Láirge,,,219392,104945,619338,605000,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.443217578686849,53.52729932325866,24,WESTMEATH,An Iarmhí,WESTMEATH,,C,Co,N,,230000,WESTMEATH,An Iarmhí,,,236974,253159,636917,753182,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.623415960478842,52.465099530144819,25,WEXFORD,Loch Garman,WEXFORD,,C,Co,N,,240000,WEXFORD,Loch Garman,,,293609,135694,693539,635742,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.410374538915227,53.000029065373738,26,WICKLOW,Cill Mhantáin,WICKLOW,,C,Co,N,,250000,WICKLOW,Cill Mhantáin,,,306773,195515,706700,695550,4,519,FJF,2007-05-16T00:00:00.000Z,
