ItemID,Item,Price,Classification
6948153,"Eldon Base for stackable storage shelf, platinum",38.94,Storage & Organization
4950974,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,Appliances
6747204,"Cardinal Slant-D?Ring Binder, Heavy Gauge Vinyl",8.69,Binders and Binder Accessories
824852,R380,195.99,Telephones and Communication
7224702,Holmes HEPA Air Purifier,21.78,Appliances
7149493,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,6.64,Office Furnishings
6549330,"Angle-D Binders with Locking Rings, Label Holders",7.3,Binders and Binder Accessories
8339717,"SAFCO Mobile Desk Side File, Wire Frame",42.76,Storage & Organization
8337620,"SAFCO Commercial Wire Shelving, Black",138.14,Storage & Organization
889180,Xerox 198,4.98,Paper
8810618,Xerox 1980,4.28,Paper
6547483,Advantus Map Pennant Flags and Round Head Tacks,3.95,Rubber Bands
7224132,Holmes HEPA Air Purifier,21.78,Appliances
6849239,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",47.98,Computer Peripherals
8745998,"Wilson Jones 1"" Hanging DublLock?Ring Binders",5.28,Binders and Binder Accessories
8545453,Ultra Commercial Grade Dual Valve Door Closer,39.89,Office Furnishings
3551251,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",15.74,Envelopes
7227257,Hon 4-Shelf Metal Bookcases,100.98,Bookcases
7678885,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",71.37,Tables
1034836,g520,65.99,Telephones and Communication
766725,LX 788,155.99,Telephones and Communication
658431,Avery 52,3.69,Labels
8039739,Plymouth Boxed Rubber Bands by Plymouth,4.71,Rubber Bands
7159473,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",15.99,Binders and Binder Accessories
7750585,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",4.89,Computer Peripherals
7810988,Newell 335,2.88,Pens & Art Supplies
8345924,SANFORD Liquid Accent?Tank-Style Highlighters,2.84,Pens & Art Supplies
6718363,Canon PC940 Copier,449.99,Copiers and Fax
8458220,"Tenex Personal Project File with Scoop Front Design, Black",13.48,Storage & Organization
6730251,Col-Erase?Pencils with Erasers,6.08,Pens & Art Supplies
7351412,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",5.98,Computer Peripherals
8795617,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lb",40.99,Paper
8357742,Self-Adhesive Address Labels for Typewriters by Universal,7.31,Labels
6511647,Accessory37,20.99,Telephones and Communication
7018622,Fuji 5.2GB DVD-RAM,40.96,Computer Peripherals
6626313,Bevis Steel Folding Chairs,95.95,Chairs & Chairmats
6519268,Avery Binder Labels,3.89,Binders and Binder Accessories
7245875,Hon Every-Day?Chair Series Swivel Task Chairs,120.98,Chairs & Chairmats
7347851,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",30.98,Paper
7145821,Global Troy?Executive Leather Low-Back Tilter,500.98,Chairs & Chairmats
8850634,XtraLife?ClearVue?Slant-D?Ring Binders by Cardinal,7.84,Binders and Binder Accessories
6753329,Computer Printout Paper with Letter-Trim Perforations,18.97,Paper
544779,6160,115.99,Telephones and Communication
658893,Avery 49,2.88,Labels
7233259,Hoover Portapower?Portable Vacuum,4.48,Appliances
8414675,Timeport L7089,125.99,Telephones and Communication
659597,Avery 510,3.75,Labels
8810591,Xerox 1881,12.28,Paper
766879,LX 788,155.99,Telephones and Communication
6747466,"Cardinal Slant-D?Ring Binder, Heavy Gauge Vinyl",8.69,Binders and Binder Accessories
7729666,"Memorex 4.7GB DVD-RAM, 3/Pack",31.78,Computer Peripherals
8519784,Unpadded Memo Slips,3.98,Paper
6592525,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"",",5.88,Paper
6957115,"Eldon Expressions?Desk Accessory, Wood Pencil Holder, Oak",9.65,Office Furnishings
6628194,Bell Sonecor JB700 Caller ID,7.99,Telephones and Communication
6523180,Avery Arch Ring Binders,58.1,Binders and Binder Accessories
6548100,APC 7 Outlet Network SurgeArrest Surge Protector,80.48,Appliances
6865572,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",92.23,Office Furnishings
6510609,Accessory4,85.99,Telephones and Communication
8043515,Personal Creations?Ink Jet Cards and Labels,11.48,Paper
7243599,High Speed Automatic Electric Letter Opener,1637.53,"Scissors, Rulers and Trimmers"
8810271,Xerox 1966,6.48,Paper
889338,Xerox 213,6.48,Paper
6660368,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",28.15,Pens & Art Supplies
7252785,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),4.98,Paper
8465143,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",6.35,Paper
6729531,Crate-A-Files?Andrew Gjertsen,7.46,0.59
6549254,"Angle-D Binders with Locking Rings, Label Holders",7.3,Binders and Binder Accessories
5642669,"80 Minute CD-R Spindle, 100/Pack - Staples",39.48,Computer Peripherals
6672941,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",100.98,Bookcases
4932137,12-1/2 Diameter Round Wall Clock,19.98,Office Furnishings
8324659,SAFCO Arco Folding Chair,276.2,Chairs & Chairmats
3542115,"#10 White Business Envelopes,4 1/8 x 9 1/2",15.67,Envelopes
5121262,3M Office Air Cleaner,25.98,Appliances
7145411,"Global Leather and Oak Executive Chair, Black",300.98,Chairs & Chairmats
8810320,Xerox 1936,19.98,Paper
889331,Xerox 214,6.48,Paper
6758939,Carina Double Wide Media Storage Towers in Natural & Black,80.98,Storage & Organization
8334243,Staples?General Use 3-Ring Binders,1.88,Binders and Binder Accessories
8810407,Xerox 1904,6.48,Paper
7644599,Luxo Professional Combination Clamp-On Lamps,102.3,Office Furnishings
889145,Xerox 217,6.48,Paper
8235856,Revere Boxed Rubber Bands by Revere,1.89,Rubber Bands
6569904,"Acco Smartsocket?Table Surge Protector, 6 Color-Coded Adapter Outlets",62.05,Appliances
8472619,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",279.48,Storage & Organization
7249201,Hon 4070 Series Pagoda?Round Back Stacking Chairs,320.98,Chairs & Chairmats
8810545,Xerox 1887,18.97,Paper
8810122,Xerox 1891,48.91,Paper
659573,Avery 506,4.13,Labels
6682960,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Ord",140.98,Bookcases
7643691,"Lifetime Advantage?Folding Chairs, 4/Carton",218.08,Chairs & Chairmats
7737356,Microsoft Natural Multimedia Keyboard,50.98,Computer Peripherals
8347401,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",10.14,Paper
7159639,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",15.99,Binders and Binder Accessories
6634248,Bevis Boat-Shaped Conference Table,262.11,Tables
7636920,"Linden?12"" Wall Clock With Oak Frame",33.98,Office Furnishings
7810363,Newell 326,1.76,Pens & Art Supplies
8028258,Prismacolor Color Pencil Set,19.84,Pens & Art Supplies
8826469,Xerox Blank Computer Paper,19.98,Paper
5415927,600 Series Flip,95.99,Telephones and Communication
7033987,Fellowes Recycled Storage Drawers,111.03,Storage & Organization
8332159,Satellite Sectional Post Binders,43.41,Binders and Binder Accessories
6874404,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,105.34,Office Furnishings
659368,Avery 487,3.69,Labels
6653622,Bevis Round Conference Table Top & Single Column Base,146.34,Tables
7155639,"GBC Twin Loop?Wire Binding Elements, 9/16"" Spine, Black",15.22,Binders and Binder Accessories
7228520,Hanging Personal Folder File,15.7,Storage & Organization
6640355,"Bevis Round Conference Table Top, X-Base",179.29,Tables
534585,5125,200.99,Telephones and Communication
6931827,Electrix Halogen Magnifier Lamp,194.3,Office Furnishings
6754131,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,120.97,Office Machines
7036904,Fellowes Black Plastic Comb Bindings,5.81,Binders and Binder Accessories
8055104,Polycom ViewStation?Adapter H323 Videoconferencing Unit,1938.02,Office Machines
7222863,Hon GuestStacker Chair,226.67,Chairs & Chairmats
6927557,Eldon?Wave Desk Accessories,2.08,Office Furnishings
8330147,Sharp AL-1530CS Digital Copier,499.99,Copiers and Fax
8421737,"Tennsco Lockers, Gray",20.98,Storage & Organization
6581293,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, Whit",30.53,Labels
7810597,Newell 323,1.68,Pens & Art Supplies
7161684,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,270.98,Chairs & Chairmats
8347970,Spiral Phone Message Books with Labels by Adams,4.48,Paper
6727268,Crate-A-Files?Grant Carroll,7.46,0.59
6628396,Bell Sonecor JB700 Caller ID,7.99,Telephones and Communication
7228336,Holmes 99% HEPA Air Purifier,21.66,Appliances
889756,Xerox 224,6.48,Paper
8810600,Xerox 1906,35.44,Paper
7159289,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",15.99,Binders and Binder Accessories
889154,Xerox 188,11.34,Paper
8810516,Xerox 1932,35.44,Paper
7124841,GBC Linen Binding Covers,30.98,Binders and Binder Accessories
7134416,GBC Recycled Grain Textured Covers,34.54,Binders and Binder Accessories
8350666,"Sauder Facets Collection Library, Sky Alder Finish",170.98,Bookcases
7041239,"Fellowes Basic 104-Key Keyboard, Platinum",20.95,Computer Peripherals
7575690,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,207.48,Appliances
7939289,O'Sullivan 3-Shelf Heavy-Duty Bookcases,58.14,Bookcases
7149612,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,6.64,Office Furnishings
8037294,Panasonic KX-P1150 Dot Matrix Printer,145.45,Office Machines
7810575,Newell 327,2.21,Pens & Art Supplies
8810664,Xerox 1893,40.99,Paper
7259638,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",243.98,Chairs & Chairmats
6953219,Eldon Radial Chair Mat for Low to Medium Pile Carpets,39.98,Office Furnishings
6843174,"DAX Copper Panel Document Frame, 5 x 7 Size",12.58,Office Furnishings
7939289,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,Bookcases
8465574,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",105.98,Office Furnishings
8754939,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",7.04,Paper
7736306,"Memorex Slim 80 Minute CD-R, 10/Pack",9.78,Computer Peripherals
6523177,Aluminum Document Frame,12.22,Office Furnishings
7740493,"Memorex 80 Minute CD-R Spindle, 100/Pack",43.98,Computer Peripherals
7764896,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",34.76,Storage & Organization
6511117,Accessory36,55.99,Telephones and Communication
888771,Xerox 20,6.48,Paper
8321588,Surelock?Post Binders,30.56,Binders and Binder Accessories
6728385,Colorific?Watercolor Pencils,5.16,Pens & Art Supplies
4233359,"*Staples* vLetter Openers, 2/Pack",3.68,"Scissors, Rulers and Trimmers"
7264948,Hon 4700 Series Mobuis?Mid-Back Task Chairs with Adjustable Arms,355.98,Chairs & Chairmats
6665948,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,Tables
6948896,Eldon Econocleat?Chair Mats for Low Pile Carpets,41.47,Office Furnishings
8024534,Prang Drawing Pencil Set,2.78,Pens & Art Supplies
844947,T39m,155.99,Telephones and Communication
8810987,Xerox 1982,22.84,Paper
8810449,Xerox 1924,5.78,Paper
8438307,Turquoise Lead Holder with Pocket Clip,6.7,Pens & Art Supplies
7939390,Okidata ML395C Color Dot Matrix Printer,1360.14,Office Machines
7161426,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,270.98,Chairs & Chairmats
7727485,Microsoft Internet Keyboard,20.97,Computer Peripherals
8810890,Xerox 1982,22.84,Paper
7131796,Global Ergonomic Managers Chair,180.98,Chairs & Chairmats
7977744,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",130.98,Chairs & Chairmats
8810424,Xerox 1971,4.28,Paper
6929289,Eldon Portable Mobile Manager,28.28,Storage & Organization
6510642,Accessory6,55.99,Telephones and Communication
6826972,Durable Pressboard Binders,3.8,Binders and Binder Accessories
7041381,Fellowes 17-key keypad for PS/2 interface,30.73,Computer Peripherals
8314221,StarTAC ST7762,125.99,Telephones and Communication
6511189,Accessory21,20.99,Telephones and Communication
7075776,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,Binders and Binder Accessories
8322214,Staples 6 Outlet Surge,11.97,Appliances
8238355,Recycled Eldon Regeneration Jumbo File,12.28,Storage & Organization
8635661,Verbatim DVD-R 4.7GB authoring disc,39.24,Computer Peripherals
6739772,Canon P1-DHIII Palm Printing Calculator,17.98,Office Machines
7118809,GBC Binding covers,12.95,Binders and Binder Accessories
7810592,Newell 323,1.68,Pens & Art Supplies
7138874,"Global Stack Chair without Arms, Black",25.98,Chairs & Chairmats
8344287,"Speediset Carbonless Redi-Letter?7"" x 8 1/2""",10.31,Paper
7139930,GBC Recycled Regency Composition Covers,59.78,Binders and Binder Accessories
6511381,Accessory29,20.99,Telephones and Communication
7810471,Newell 323,1.68,Pens & Art Supplies
8333907,SANFORD Major Accent?Highlighters,7.08,Pens & Art Supplies
8050891,Polycom ViaVideo?Desktop Video Communications Unit,574.74,Office Machines
6857677,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",36.55,Pens & Art Supplies
6511269,Accessory24,55.99,Telephones and Communication
7262341,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",51.75,Office Furnishings
8254852,Recycled Steel Personal File for Standard File Folders,55.29,Storage & Organization
6957331,"Eldon Expressions?Desk Accessory, Wood Pencil Holder, Oak",9.65,Office Furnishings
6511509,Accessory39,20.99,Telephones and Communication
6628245,Bell Sonecor JB700 Caller ID,7.99,Telephones and Communication
3544126,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",7.64,Envelopes
7142560,GBC Standard Plastic Binding Systems Combs,8.85,Binders and Binder Accessories
8810367,Xerox 1930,6.48,Paper
659435,Avery 474,2.88,Labels
8261636,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",880.98,Bookcases
7249651,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,200.97,Office Machines
7335475,"IBM 80 Minute CD-R Spindle, 50/Pack",20.89,Computer Peripherals
8045975,"Peel & Seel?Recycled Catalog Envelopes, Brown",11.58,Envelopes
659436,Avery 506,4.13,Labels
8024326,Prang Drawing Pencil Set,2.78,Pens & Art Supplies
8416955,TDK 4.7GB DVD+RW,14.48,Computer Peripherals
8537717,U.S. Robotics 56K Internet Call Modem,99.99,Computer Peripherals
889145,Xerox 190,4.98,Paper
8365539,Standard Line??While You Were Out?Hardbound Telephone Message Book,21.98,Paper
676345,CF 888,195.99,Telephones and Communication
7249138,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,200.97,Office Machines
6837276,Dana Halogen Swing-Arm Architect Lamp,40.97,Office Furnishings
8380215,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",349.45,Tables
7632957,Lexmark Z25 Color Inkjet Printer,80.97,Office Machines
7236975,Hon Multipurpose Stacking Arm Chairs,216.6,Chairs & Chairmats
7224232,Hon Olson Stacker Stools,140.81,Chairs & Chairmats
6955584,"Executive Impressions 14"" Two-Color Numerals Wall Clock",22.72,Office Furnishings
4932838,12-1/2 Diameter Round Wall Clock,19.98,Office Furnishings
6933650,Epson DFX5000+ Dot Matrix Printer,1500.97,Office Machines
7041834,"Fellowes Basic 104-Key Keyboard, Platinum",20.95,Computer Peripherals
8270669,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",23.99,Envelopes
7132988,GBC Standard Therm-A-Bind Covers,24.92,Binders and Binder Accessories
5642325,"80 Minute CD-R Spindle, 100/Pack - Staples",39.48,Computer Peripherals
8810546,Xerox 1892,38.76,Paper
8319272,Staples Paper Clips,2.47,Rubber Bands
7737389,"Metal Folding Chairs, Beige, 4/Carton",33.94,Chairs & Chairmats
5650921,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",8.33,Computer Peripherals
6753934,Computer Printout Paper with Letter-Trim Perforations,18.97,Paper
6627517,Bush Mission Pointe Library,150.98,Bookcases
7224910,Hon Olson Stacker Stools,140.81,Chairs & Chairmats
8810432,Xerox 1929,22.84,Paper
7231654,Home/Office Personal File Carts,34.76,Storage & Organization
659471,Avery 507,2.88,Labels
1054853,i470,205.99,Telephones and Communication
5119253,3M Organizer Strips,5.4,Binders and Binder Accessories
7333442,"Imation 3.5 IBM Diskettes, 10/Box",8.46,Computer Peripherals
7135150,"GE 4 Foot Flourescent Tube, 40 Watt",14.98,Office Furnishings
5119818,300 Series Non-Flip,155.99,Telephones and Communication
6945799,"Executive Impressions 13"" Chairman Wall Clock",25.38,Office Furnishings
7730832,Micro Innovations 104 Keyboard,10.97,Computer Peripherals
8538554,US Robotics 56K V.92 External Faxmodem,99.99,Computer Peripherals
7033960,Fellowes Staxonsteel?Drawer Files,193.17,Storage & Organization
6511330,Accessory39,20.99,Telephones and Communication
8433784,Telescoping Adjustable Floor Lamp,19.99,Office Furnishings
6732852,Canon MP41DH Printing Calculator,150.98,Office Machines
8362618,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",370.98,Storage & Organization
8664965,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,179.99,Telephones and Communication
,"""Memo Book",,5 3/8?x 11?
250,Belkin 6 Outlet Metallic Surge Strip,,27680
251,Xerox 21,,27680
252,GBC DocuBind TL200 Manual Binding Machine,,27778
253,"Sauder Forest Hills Library""",-393.96,Northwest Territories
8810880,Xerox 1940,54.96,Paper
6619216,Bagged Rubber Bands,1.26,Rubber Bands
8810191,Xerox 1897,4.98,Paper
8026230,Poly Designer Cover & Back,18.99,Binders and Binder Accessories
6648179,Bionaire Personal Warm Mist Humidifier/Vaporizer,46.89,Appliances
6525682,"Acme?8"" Straight Scissors",12.98,"Scissors, Rulers and Trimmers"
7224150,Heavy-Duty E-Z-D?Binders,10.91,Binders and Binder Accessories
7252893,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),4.98,Paper
6840296,Deluxe Rollaway Locking File with Drawer,415.88,Storage & Organization
503892,252,65.99,Telephones and Communication
544364,6160,115.99,Telephones and Communication
7351182,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",5.02,Computer Peripherals
8028766,Prismacolor Color Pencil Set,19.84,Pens & Art Supplies
8736994,Wilson Jones DublLock?D-Ring Binders,6.75,Binders and Binder Accessories
6612521,Binder Posts,5.74,Binders and Binder Accessories
6932815,Epson LQ-570e Dot Matrix Printer,270.97,Office Machines
6555191,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",260.98,Bookcases
7043438,Fellowes PB300 Plastic Comb Binding Machine,387.99,Binders and Binder Accessories
8245227,Rush Hierlooms Collection Rich Wood Bookcases,160.98,Bookcases
659355,Avery 481,3.08,Labels
8330889,Sharp AL-1530CS Digital Copier,499.99,Copiers and Fax
8337270,"SAFCO Commercial Wire Shelving, Black",138.14,Storage & Organization
6543654,"Avery Trapezoid Extra Heavy Duty 4"" Binders",41.94,Binders and Binder Accessories
8357150,Self-Adhesive Address Labels for Typewriters by Universal,7.31,Labels
8314776,StarTAC Series,65.99,Telephones and Communication
8256125,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",7.64,Paper
6837379,Dana Halogen Swing-Arm Architect Lamp,40.97,Office Furnishings
7135339,Global Comet?Stacking Armless Chair,299.05,Chairs & Chairmats
7258542,Hon 4070 Series Pagoda?Armless Upholstered Stacking Chairs,291.73,Chairs & Chairmats
7036642,"Fellowes Internet Keyboard, Platinum",30.42,Computer Peripherals
6840425,Deluxe Rollaway Locking File with Drawer,415.88,Storage & Organization
7627569,Luxo Economy Swing Arm Lamp,19.94,Office Furnishings
4233434,"*Staples* vLetter Openers, 2/Pack",3.68,"Scissors, Rulers and Trimmers"
8322656,Staples 6 Outlet Surge,11.97,Appliances
6540612,Acco Perma?2700 Stacking Storage Drawers,29.74,Storage & Organization
7047472,Fellowes Stor/Drawer?Steel Plus?Storage Drawers,95.43,Storage & Organization
7266598,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,300.65,Appliances
8662489,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",45.19,Computer Peripherals
7627659,Lock-Up Easel 'Spel-Binder',28.53,Binders and Binder Accessories
6567217,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",5.68,Paper
8452573,"Tenex File Box, Personal Filing Tote with Lid, Black",15.51,Storage & Organization
7036890,Fellowes Black Plastic Comb Bindings,5.81,Binders and Binder Accessories
6524874,Assorted Color Push Pins,1.81,Rubber Bands
7237546,HP Office Paper (20Lb. and 87 Bright),6.68,Paper
8332759,Staples Vinyl Coated Paper Clips,3.93,Rubber Bands
6732319,Canon MP41DH Printing Calculator,150.98,Office Machines
7810516,Newell 310,1.76,Pens & Art Supplies
7544929,Kensington 7 Outlet MasterPiece Power Center,177.98,Appliances
6838104,"DAX Metal Frame, Desktop, Stepped-Edge",20.24,Office Furnishings
6627245,Bush Mission Pointe Library,150.98,Bookcases
6511829,Accessory21,20.99,Telephones and Communication
564626,8860,65.99,Telephones and Communication
6516189,Array?Memo Cubes,5.18,Paper
7027263,"Fiskars 8"" Scissors, 2/Pack",17.24,"Scissors, Rulers and Trimmers"
4924650,12 Colored Short Pencils,2.6,Pens & Art Supplies
8036310,Pizazz?Global Quick File?Alan Barnes,7.51,0.57
7321260,Imation 5.2GB DVD-RAM,60.98,Computer Peripherals
6540883,Acco Perma?2700 Stacking Storage Drawers,29.74,Storage & Organization
8026814,Portable Personal File Box,12.21,Storage & Organization
8373291,"Snap-A-Way?Black Print Carbonless Speed Message, No Reply Area, Duplicate",29.14,Paper
7349372,Ibico Covers for Plastic or Wire Binding Elements,11.5,Binders and Binder Accessories
7228302,Hanging Personal Folder File,15.7,Storage & Organization
8427151,Tennsco Double-Tier Lockers,225.02,Storage & Organization
8775748,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",9.27,Paper
6581165,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cu",6.84,"Scissors, Rulers and Trimmers"
7352952,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",4.98,Computer Peripherals
8041238,PC Concepts 116 Key Quantum 3000 Keyboard,32.98,Computer Peripherals
6938972,Epson Stylus 1520 Color Inkjet Printer,500.97,Office Machines
659537,Avery 494,2.61,Labels
8357444,Self-Adhesive Address Labels for Typewriters by Universal,7.31,Labels
6511924,Accessory37,20.99,Telephones and Communication
8759308,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,5.34,Binders and Binder Accessories
6964398,Eureka Disposable Bags for Sanitaire?Vibra Groomer I?Upright Vac,4.06,Appliances
6556267,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,99.99,Office Machines
8045428,"Peel & Seel?Recycled Catalog Envelopes, Brown",11.58,Envelopes
6753565,Cardinal Poly Pocket Divider Pockets for Ring Binders,3.36,Binders and Binder Accessories
6734185,Canon PC1060 Personal Laser Copier,699.99,Copiers and Fax
8333894,Sterling Rubber Bands by Alliance,4.71,Rubber Bands
7810699,Newell 312,5.84,Pens & Art Supplies
6665519,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,Tables
